subject,test_alignment,acc,n,ci_lo,ci_hi
78,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
78,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
79,per_run,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
79,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
79,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
80,per_run,0.6888888888888889,45,0.533508970087884,0.8183411960662779
80,per_subject,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
80,none,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
81,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
81,per_subject,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
81,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
82,per_run,0.7555555555555555,45,0.6046290712401733,0.871177185396492
82,per_subject,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
82,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
83,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
83,per_subject,0.7555555555555555,45,0.6046290712401733,0.871177185396492
83,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
84,per_run,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
84,per_subject,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
84,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
85,per_run,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
85,per_subject,0.9111111111111111,45,0.7877882630456604,0.9752470422165309
85,none,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
86,per_run,0.8,45,0.6540417022050522,0.9042427303088574
86,per_subject,0.8222222222222222,45,0.6794657566066298,0.9199820425426939
86,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
87,per_run,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
87,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
87,none,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
89,per_run,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
89,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
89,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
90,per_run,0.6,45,0.4433135124790022,0.7430241048073687
90,per_subject,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
90,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
91,per_run,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
91,per_subject,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
91,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
93,per_run,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
93,per_subject,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
93,none,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
